# Replacement pairs for StandardizeSpecialChars.
# Format: from<TAB>to[<TAB># comment]. Line order defines the
# strings.Replacer registration order: when several patterns match at the
# same position, the earliest pair in this file wins.

# ============================================================
# Category 1: 住所パターン (addressPatterns)
# 複数文字の変換、住所特有のパターン
# ============================================================
# Kyoto street name patterns: 入ル → 入 (DB uses 入 without ル)
東入ル	東入
西入ル	西入
# Multi-character mappings
楠木	楠
# Character to multi-character
鸙	雲雀
桵	たら
# ABR外字縮退マップより（1文字→複数文字）
𢉿	から	# U+2227F → ひらがな
濤	涛	# 濤(U+6FE4): 3, 涛(U+6D9B): 7 in DB
淺	浅	# 淺(U+6DFA): 0, 浅(U+6D45): 3408 in DB
濱	浜	# 濱(U+6FF1): 267, 浜(U+6D5C): 25196 in DB
溫	温	# 溫(U+6EAB): 0, 温(U+6E29): 1955 in DB
灣	湾	# 灣(U+7063): 0, 湾(U+6E7E): 188 in DB
灌	潅	# 灌(U+704C): 4, 潅(U+6F45): 0 in DB
潛	潜	# 潛(U+6F5B): 1, 潜(U+6F5C): 43 in DB
瀧	滝	# 瀧(U+7027): 465, 滝(U+6EDD): 6360 in DB
燈	灯	# 燈(U+71C8): 101, 灯(U+706F): 158 in DB
點	点	# 點(U+9EDE): 0, 点(U+70B9): 13 in DB
狹	狭	# 狹(U+72F9): 94, 狭(U+72ED): 5054 in DB
獨	独	# 獨(U+7368): 7, 独(U+72EC): 70 in DB
疊	畳	# 疊(U+758A): 1, 畳(U+7573): 118 in DB
發	発	# 發(U+767C): 0, 発(U+767A): 868 in DB
眞	真	# 眞(U+771E): 32, 真(U+771F): 4171 in DB
碎	砕	# 碎(U+788E): 0, 砕(U+7815): 4 in DB
礪	砺	# 礪(U+792A): 0, 砺(U+783A): 461 in DB
礦	砿	# 礦(U+7926): 0, 砿(U+783F): 8 in DB
禮	礼	# 禮(U+79AE): 8, 礼(U+793C): 315 in DB
稻	稲	# 稻(U+7A3B): 0, 稲(U+7A32): 9705 in DB
穗	穂	# 穗(U+7A57): 6, 穂(U+7A42): 2981 in DB
龍	竜	# 龍(U+9F8D): 923, 竜(U+7ADC): 1241 in DB
籠	篭	# 籠(U+7C60): 701, 篭(U+7BED): 236 in DB
絲	糸	# 絲(U+7D72): 1, 糸(U+7CF8): 1553 in DB
經	経	# 經(U+7D93): 0, 経(U+7D4C): 302 in DB
繩	縄	# 繩(U+7E69): 11, 縄(U+7E04): 3100 in DB
繪	絵	# 繪(U+7E6A): 4, 絵(U+7D75): 71 in DB
繼	継	# 繼(U+7E7C): 0, 継(U+7D99): 109 in DB
續	続	# 續(U+7E8C): 1, 続(U+7D9A): 162 in DB
總	総	# 總(U+7E3D): 2, 総(U+7DCF): 1004 in DB
縣	県	# 縣(U+7E23): 3, 県(U+770C): 770824 in DB
臺	台	# 臺(U+81FA): 51, 台(U+53F0): 14513 in DB
臟	臓	# 臟(U+81DF): 0, 臓(U+81D3): 1 in DB
舍	舎	# 舍(U+820D): 0, 舎(U+820E): 393 in DB
舖	舗	# 舖(U+8216): 0, 舗(U+8217): 40 in DB
莖	茎	# 莖(U+8396): 1, 茎(U+830E): 144 in DB
莊	荘	# 莊(U+838A): 1, 荘(U+8358): 5710 in DB
藏	蔵	# 藏(U+85CF): 184, 蔵(U+8535): 4794 in DB
藥	薬	# 藥(U+85E5): 3, 薬(U+85AC): 1193 in DB
蘂	蕊	# 蘂(U+8602): 54, 蕊(U+854A): 1 in DB
藪	薮	# 藪(U+85EA): 383, 薮(U+85AE): 669 in DB
蠣	蛎	# 蠣(U+8823): 16, 蛎(U+86CE): 16 in DB
蠅	蝿	# 蠅(U+8805): 1, 蝿(U+877F): 4 in DB
裝	装	# 裝(U+88DD): 0, 装(U+88C5): 7 in DB
襃	褒	# 襃(U+8943): 0, 褒(U+8912): 1 in DB
覺	覚	# 覺(U+89BA): 2, 覚(U+899A): 210 in DB
觀	観	# 觀(U+89C0): 2, 観(U+89B3): 1190 in DB
觸	触	# 觸(U+89F8): 3, 触(U+89E6): 2000 in DB
讀	読	# 讀(U+8B80): 1, 読(U+8AAD): 30 in DB
譯	訳	# 譯(U+8B6F): 3, 訳(U+8A33): 49 in DB
