input,score,output,other,match_level,lg_code,pref,county,city,ward,machiaza_id,oaza_cho,chome,koaza,blk_num,blk_id,rsdt_num,rsdt_id,rsdt_num2,rsdt2_id,rsdt_addr_flg,prc_num1,prc_num2,prc_num3,prc_id,lat,lon,coordinate_level,pref_key,city_key,town_key,parcel_key,rsdtblk_key,rsdtdsp_key,spend_time
"北海道赤平市大町１丁目２番地",0.79,"北海道赤平市大町一丁目2","2",machiaza_detail,012181,北海道,,赤平市,,0006001,大町,一丁目,,,,,,,,0,,,,,43.553357,142.053089,machiaza_detail,5859364,3789594286,2706175062,,,,1.27
"北海道滝川市江部乙町西１２丁目２番９号",0.79,"北海道滝川市江部乙町西十二丁目2-9",,residential_detail,012254,北海道,,滝川市,,0011012,江部乙町西,十二丁目,,2,002,9,009,,,1,,,,,43.625582382,141.936965661,residential_detail,5859364,3592693285,1175681049,,4199412676,641334595,1.27
"北海道砂川市西一条南１丁目１番１９号",0.84,"北海道砂川市西一条南一丁目1-19",,residential_detail,012262,北海道,,砂川市,,0020001,西一条南,一丁目,,1,001,19,019,,,1,,,,,43.491130243,141.906248961,residential_detail,5859364,3814530208,1485088156,,2964448418,1545775908,1.26
"北海道砂川市東一条南２丁目１番８号",0.83,"北海道砂川市東一条南二丁目1-8",,residential_detail,012262,北海道,,砂川市,,0041002,東一条南,二丁目,,1,001,8,008,,,1,,,,,43.489389613,141.907426737,residential_detail,5859364,3814530208,3228843768,,3028898822,596506016,1.27
"北海道樺戸郡新十津川町字中央１８番地６",0.9,"北海道樺戸郡新十津川町字中央18-6",,parcel,014320,北海道,樺戸郡,新十津川町,,0005000,字中央,,,,,,,,,1,18,6,,000180000600000,43.54744023400001,141.877435042,parcel,5859364,3745634625,1949481563,151508171,,,1.26
"北海道滝川市江部乙町西１２丁目１番４号",0.79,"北海道滝川市江部乙町西十二丁目1-4",,residential_detail,012254,北海道,,滝川市,,0011012,江部乙町西,十二丁目,,1,001,4,004,,,1,,,,,43.624784524,141.94015061,residential_detail,5859364,3592693285,1175681049,,2640677415,3023973453,1.26
"北海道滝川市二の坂町東１丁目１６番４１号",0.85,"北海道滝川市二の坂町東一丁目16-41",,residential_detail,012254,北海道,,滝川市,,0035001,二の坂町東,一丁目,,16,016,41,041,,,1,,,,,43.575024125000006,141.928437158,residential_detail,5859364,3592693285,971355965,,2815760997,1016812846,1.25
"北海道滝川市北滝の川１２３６番地３",0.89,"北海道滝川市北滝の川1236-3",,parcel,012254,北海道,,滝川市,,0017000,北滝の川,,,,,,,,,0,1236,3,,012360000300000,43.590683624,141.924872016,parcel,5859364,3592693285,244881500,3423455814,,,1.25
"北海道滝川市黄金町西２丁目２番２２号",0.84,"北海道滝川市黄金町西二丁目2-22",,residential_detail,012254,北海道,,滝川市,,0018002,黄金町西,二丁目,,2,002,22,022,,,1,,,,,43.575499947,141.915966487,residential_detail,5859364,3592693285,780161553,,299964876,1258170146,1.24
"北海道砂川市空知太東二条２丁目１番１号",0.85,"北海道砂川市空知太東二条二丁目1-1",,residential_detail,012262,北海道,,砂川市,,0013002,空知太東二条,二丁目,,1,001,1,001,,,1,,,,,43.52732129,141.919422283,residential_detail,5859364,3814530208,1439121823,,4083319073,3937955694,1.24
"北海道滝川市新町２丁目４番３１号",0.82,"北海道滝川市新町二丁目4-31",,residential_detail,012254,北海道,,滝川市,,0022002,新町,二丁目,,4,004,31,031,,,1,,,,,43.552126337000004,141.913355516,residential_detail,5859364,3592693285,3634484088,,2807772707,3857717295,1.24
"北海道雨竜郡雨竜町字満寿３３番地３７",0.84,"北海道雨竜郡雨竜町満寿33-37",,parcel,014362,北海道,雨竜郡,雨竜町,,0000129,,,満寿,,,,,,,0,33,37,,000330003700000,43.646408064,141.889145385,parcel,5859364,3814570503,3609992722,1176553737,,,1.24
"北海道滝川市緑町１丁目３番１４号",0.82,"北海道滝川市緑町一丁目3-14",,residential_detail,012254,北海道,,滝川市,,0042001,緑町,一丁目,,3,003,14,014,,,1,,,,,43.556520054,141.916656004,residential_detail,5859364,3592693285,2764084189,,2498516385,3131705738,1.23
"北海道滝川市江部乙町東１０丁目９番５６号",0.8,"北海道滝川市江部乙町東十丁目9-56",,residential_detail,012254,北海道,,滝川市,,0012010,江部乙町東,十丁目,,9,009,56,056,,,1,,,,,43.617488295,141.937693227,residential_detail,5859364,3592693285,1093078104,,2147499886,881078403,1.23
"北海道砂川市西豊沼２７４番地４",0.87,"北海道砂川市西豊沼274-4",,parcel,012262,北海道,,砂川市,,0035000,西豊沼,,,,,,,,,0,274,4,,002740000400000,43.473794,141.882103,machiaza_detail,5859364,3814530208,420025881,4090549443,,,1.22
"北海道滝川市泉町１丁目１４番２６号",0.83,"北海道滝川市泉町一丁目14-26",,residential_detail,012254,北海道,,滝川市,,0006001,泉町,一丁目,,14,014,26,026,,,1,,,,,43.57283586900001,141.89050902,residential_detail,5859364,3592693285,2675442525,,3704411847,755464365,1.22
"北海道滝川市江部乙町西１１丁目８番５６号",0.8,"北海道滝川市江部乙町西十一丁目8-56",,residential_detail,012254,北海道,,滝川市,,0011011,江部乙町西,十一丁目,,8,008,56,056,,,1,,,,,43.622931104,141.936773704,residential_detail,5859364,3592693285,2537566074,,1179696045,398316992,1.22
"北海道滝川市緑町１丁目３番３２号",0.82,"北海道滝川市緑町一丁目3-32",,residential_detail,012254,北海道,,滝川市,,0042001,緑町,一丁目,,3,003,32,032,,,1,,,,,43.555940227,141.916026899,residential_detail,5859364,3592693285,2764084189,,2498516385,2439441486,1.22
"北海道赤平市大町１丁目３番地２",0.8,"北海道赤平市大町一丁目3-2",,parcel,012181,北海道,,赤平市,,0006001,大町,一丁目,,,,,,,,0,3,2,,000030000200000,43.554089063,142.051548447,parcel,5859364,3789594286,2706175062,3131497640,,,1.21
"北海道樺戸郡新十津川町字中央７番地２５",0.9,"北海道樺戸郡新十津川町字中央7-25",,parcel,014320,北海道,樺戸郡,新十津川町,,0005000,字中央,,,,,,,,,1,7,25,,000070002500000,43.548851812,141.874562522,parcel,5859364,3745634625,1949481563,2807012644,,,1.21
"北海道空知郡奈井江町字奈井江町２２７番地２２",0.91,"北海道空知郡奈井江町字奈井江町227-22",,parcel,014249,北海道,空知郡,奈井江町,,0009000,字奈井江町,,,,,,,,,0,227,22,,002270002200000,43.431418681,141.888992826,parcel,5859364,4088554191,2455417305,1808191009,,,1.20
"北海道滝川市滝の川町西６丁目６番７号",0.84,"北海道滝川市滝の川町西六丁目6-7",,residential_detail,012254,北海道,,滝川市,,0026006,滝の川町西,六丁目,,6,006,7,007,,,1,,,,,43.591649914,141.919394882,residential_detail,5859364,3592693285,18072056,,3534566753,4273514216,1.21
"北海道樺戸郡浦臼町字浦臼内１７２番地の４９",0.86,"北海道樺戸郡浦臼町字浦臼内172-49",,parcel,014311,北海道,樺戸郡,浦臼町,,0001000,字浦臼内,,,,,,,,,0,172,49,,001720004900000,43.430011233,141.81971488,parcel,5859364,3783588451,609938301,3110208203,,,1.20
"北海道空知郡奈井江町字奈井江５２３番地４",0.9,"北海道空知郡奈井江町字奈井江523-4",,parcel,014249,北海道,空知郡,奈井江町,,0007000,字奈井江,,,,,,,,,0,523,4,,005230000400000,43.433299522,141.890644128,parcel,5859364,4088554191,979853783,412060296,,,1.20
"北海道滝川市幸町３丁目４番３９号",0.82,"北海道滝川市幸町三丁目4-39",,residential_detail,012254,北海道,,滝川市,,0020003,幸町,三丁目,,4,004,39,039,,,1,,,,,43.572274159,141.906639303,residential_detail,5859364,3592693285,4140444763,,2876735424,3600507588,1.19
"北海道滝川市黄金町西１丁目２番３８号",0.84,"北海道滝川市黄金町西一丁目2-38",,residential_detail,012254,北海道,,滝川市,,0018001,黄金町西,一丁目,,2,002,38,038,,,1,,,,,43.573408236,141.915892836,residential_detail,5859364,3592693285,3953680626,,1761601775,3992059338,1.17
